Date,Chile,Peru,Colombia
2013-06-18,38.37036895751953,26.001441955566406,24.200000762939453
2013-06-19,37.417755126953125,25.627370834350586,25.139999389648438
2013-06-20,35.12731170654297,24.236961364746094,24.200000762939453
2013-06-21,35.813743591308594,24.032272338867188,24.280000686645508
2013-06-24,35.29541778564453,23.53822135925293,23.59000015258789
2013-06-25,36.43013000488281,23.8134822845459,23.790000915527344
2013-06-26,37.361724853515625,23.601741790771484,24.100000381469727
2013-06-27,37.95425033569336,23.87700653076172,24.100000381469727
2013-06-28,38.12435531616211,24.08873748779297,23.96299934387207
2013-07-01,37.67784118652344,24.272239685058594,24.479999542236328
2013-07-02,36.87693405151367,23.952363967895508,24.540000915527344
2013-07-03,36.756446838378906,23.585168838500977,26.299999237060547
2013-07-05,35.92010498046875,23.126176834106445,24.170000076293945
2013-07-08,35.96971893310547,22.87196159362793,24.392200469970703
2013-07-09,35.87757873535156,22.709552764892578,24.18000030517578
2013-07-10,35.28932189941406,22.08814811706543,24.0
2013-07-11,35.77833938598633,22.815473556518555,24.0
2013-07-12,35.42396926879883,22.73780059814453,24.534000396728516
2013-07-15,36.29574966430664,22.928455352783203,24.534000396728516
2013-07-16,36.48002243041992,23.133235931396484,25.229999542236328
2013-07-17,37.37306594848633,23.112051010131836,26.06999969482422
2013-07-18,37.5927734375,23.147357940673828,26.40999984741211
2013-07-19,36.593421936035156,22.56832504272461,26.5
2013-07-22,36.643043518066406,23.232099533081055,26.5
2013-07-23,36.84859085083008,23.592226028442383,26.690000534057617
2013-07-24,36.4233283996582,23.09792709350586,26.521299362182617
2013-07-25,36.550907135009766,22.907270431518555,26.719999313354492
2013-07-26,36.01224899291992,23.239151000976562,26.719999313354492
2013-07-29,35.57989501953125,23.09792709350586,26.719999313354492
2013-07-30,34.62306213378906,22.956703186035156,26.479999542236328
2013-07-31,34.467140197753906,22.66718101501465,26.299999237060547
2013-08-01,35.346012115478516,22.900211334228516,26.3799991607666
2013-08-02,35.59406661987305,22.773103713989258,26.3799991607666
2013-08-05,35.00579833984375,22.87196159362793,27.125600814819336
2013-08-06,34.31829071044922,22.68130111694336,27.09000015258789
2013-08-07,33.85050582885742,22.533016204833984,27.09000015258789
2013-08-08,35.204254150390625,23.161481857299805,26.959999084472656
2013-08-09,35.72874069213867,23.92411994934082,27.489999771118164
2013-08-12,35.898841857910156,24.72205924987793,27.5
2013-08-13,35.36726379394531,24.764423370361328,27.219999313354492
2013-08-14,35.28932189941406,24.8632869720459,27.219999313354492
2013-08-15,35.01998519897461,24.898588180541992,27.18000030517578
2013-08-16,34.516761779785156,24.672624588012695,27.18000030517578
2013-08-19,33.79381561279297,24.43253517150879,26.270000457763672
2013-08-20,33.87886428833008,24.4960880279541,26.270000457763672
2013-08-21,33.099239349365234,24.079463958740234,26.270000457763672
2013-08-22,33.43943405151367,24.397232055664062,26.540000915527344
2013-08-23,34.01353454589844,24.517276763916016,26.36989974975586
2013-08-26,33.63079833984375,24.439598083496094,25.969999313354492
2013-08-27,32.6456184387207,23.83231544494629,25.559999465942383
2013-08-28,32.560569763183594,23.747581481933594,26.086999893188477
2013-08-29,32.98582458496094,24.015913009643555,26.086999893188477
2013-08-30,33.55284118652344,24.079463958740234,25.790000915527344
2013-09-03,33.48196792602539,24.11478042602539,26.298999786376953
2013-09-04,33.87886428833008,24.31118392944336,26.298999786376953
2013-09-05,34.81443786621094,24.23346710205078,26.298999786376953
2013-09-06,35.92010498046875,24.353578567504883,25.950000762939453
2013-09-09,36.82732009887695,24.572593688964844,26.200000762939453
2013-09-10,36.6713981628418,24.67857551574707,26.649999618530273
2013-09-11,36.50837707519531,24.749223709106445,26.889999389648438
2013-09-12,35.7641716003418,24.20520782470703,26.799999237060547
2013-09-13,35.3956184387207,24.085098266601562,26.610000610351562
2013-09-16,35.96971893310547,24.120426177978516,26.7632999420166
2013-09-17,35.927181243896484,23.639991760253906,26.760000228881836
2013-09-18,37.83375930786133,24.049776077270508,27.360000610351562
2013-09-19,38.010955810546875,24.3253173828125,27.290000915527344
2013-09-20,37.146263122558594,24.07804298400879,27.290000915527344
2013-09-23,37.84794235229492,23.957927703857422,27.290000915527344
2013-09-24,37.11082077026367,23.668258666992188,27.290000915527344
2013-09-25,36.63595962524414,23.67531967163086,27.290000915527344
2013-09-26,36.8840217590332,23.392715454101562,27.290000915527344
2013-09-27,36.33827590942383,23.209020614624023,27.290000915527344
2013-09-30,35.558631896972656,23.046524047851562,27.549999237060547
2013-10-01,36.14691162109375,23.117177963256836,27.969999313354492
2013-10-02,36.4233283996582,23.046524047851562,27.700000762939453
2013-10-03,36.359527587890625,22.97587013244629,27.700000762939453
2013-10-04,36.67848205566406,22.91935157775879,27.700000762939453
2013-10-07,36.203609466552734,22.905221939086914,27.8799991607666
2013-10-08,35.79961013793945,22.841632843017578,27.8799991607666
2013-10-09,35.586971282958984,22.990001678466797,27.8799991607666
2013-10-10,36.834415435791016,23.343259811401367,27.8799991607666
2013-10-11,36.331172943115234,23.555213928222656,27.8799991607666
2013-10-14,36.692649841308594,23.611736297607422,27.8799991607666
2013-10-15,36.430419921875,23.611736297607422,28.4689998626709
2013-10-16,36.643043518066406,23.689455032348633,28.43000030517578
2013-10-17,36.628868103027344,24.261735916137695,28.459999084472656
2013-10-18,36.51546859741211,24.332378387451172,28.649999618530273
2013-10-21,36.49420166015625,24.44542694091797,28.65999984741211
2013-10-22,37.1179084777832,24.50900650024414,28.878999710083008
2013-10-23,36.61469650268555,24.58672523498535,28.878999710083008
