Date,Close,High,Low,Open,Volume
2013-06-03,39.92536544799805,39.98140233117993,39.62417388085956,39.974396384789365,324100
2013-06-04,39.97438430786133,40.163504723485275,39.778260619948284,40.13548629035917,113000
2013-06-05,39.56111526489258,40.037417861763245,39.54010277949618,39.85530342036418,120500
2013-06-06,39.54711151123047,39.98839246937698,39.36499704468535,39.631166808391086,98100
2013-06-07,39.40702438354492,39.89733629176795,39.2599316126735,39.414030328054004,187400
2013-06-10,38.19526290893555,39.21791458379264,38.15323792130154,39.154874430356145,181600
2013-06-11,37.74696731567383,38.19525153012403,37.662914693460586,38.06216798895434,308800
2013-06-12,37.627899169921875,38.38437823804876,37.50882215291086,38.06917751300209,229100
2013-06-13,38.98674774169922,39.06379707800834,37.61387691723316,37.70493546668797,303100
2013-06-14,38.76261520385742,39.14085603581626,38.664553359716585,39.00776981420953,253100
2013-06-17,38.769615173339844,39.224905321761284,38.70657504005049,38.8536704657154,252500
2013-06-18,38.37036895751953,38.811649971865755,38.258297885683916,38.482440029355146,167800
2013-06-19,37.417755126953125,38.412388004619785,37.38973936926038,38.321329444160945,183700
2013-06-20,35.12731170654297,37.08855683088367,34.88215439600966,36.80837781084136,723800
2013-06-21,35.813743591308594,35.95383308656281,35.197351415380986,35.60361068441971,442700
2013-06-24,35.29541778564453,35.46352573589947,34.55995118124776,35.37246715151199,297100
2013-06-25,36.43013000488281,36.696299756088145,35.65263858254705,35.988851739445266,564100
2013-06-26,37.361724853515625,37.45978669567427,36.56321822795548,36.8504004822707,471200
2013-06-27,37.95425033569336,38.0676522843184,37.436853776109395,37.52190456164924,240900
2013-06-28,38.12435531616211,38.336983635805296,37.238401731219035,37.323452518333156,592000
2013-07-01,37.67784118652344,38.59923255102987,37.635314432943275,38.59923255102987,130800
2013-07-02,36.87693405151367,37.83376562064983,36.713918903523656,37.819590037731224,274000
2013-07-03,36.756446838378906,36.898199968423256,36.37371419837398,36.855673218295124,257400
2013-07-05,35.92010498046875,37.132088924053896,35.799613878208326,37.132088924053896,183300
2013-07-08,35.96971893310547,36.52964230036487,35.92010574397778,36.10438291734977,189400
2013-07-09,35.87757873535156,36.175260571683026,35.622423648129164,36.146909405610316,150300
2013-07-10,35.28932189941406,36.08313596062159,35.28932189941406,35.771281112505065,189800
2013-07-11,35.77833938598633,36.11145870727464,35.608237858654235,36.04058081779041,235500
2013-07-12,35.42396926879883,35.65786232260028,35.211340940434894,35.50193362006598,485300
2013-07-15,36.29574966430664,36.487115983374,35.65077549428675,35.65077549428675,338900
2013-07-16,36.48002243041992,36.66429957004407,36.25321854916764,36.46584684987721,134700
2013-07-17,37.37306594848633,37.451030297068385,36.820231773036525,36.86984495782223,252500
2013-07-18,37.5927734375,37.88336603001749,37.139165751981494,37.139165751981494,221600
2013-07-19,36.593421936035156,37.31636027331413,36.565070776836286,37.238395937374925,176300
2013-07-22,36.643043518066406,36.93363620722343,36.614692352364266,36.79896952199624,54700
2013-07-23,36.84859085083008,36.919466071827074,36.607611314237374,36.919466071827074,117700
2013-07-24,36.4233283996582,36.770623442724016,36.38789079209218,36.628870308743764,204600
2013-07-25,36.550907135009766,36.60052032795411,36.30284117028805,36.30284117028805,127300
2013-07-26,36.01224899291992,36.536732098687075,35.87049585221767,36.536732098687075,73200
2013-07-29,35.57989501953125,35.89883883747468,35.480668654774554,35.60824618195193,103500
2013-07-30,34.62306213378906,35.41687842644396,34.58762453408665,35.39561370365007,138500
2013-07-31,34.467140197753906,34.88531041221595,34.233247145591605,34.4246134508928,176800
2013-08-01,35.346012115478516,35.374363286024774,34.31830516476625,34.59472502201765,366700
2013-08-02,35.59406661987305,35.85630808364583,35.3318224523849,35.44522438566897,180700
2013-08-05,35.00579833984375,35.650772454876304,34.90657196887195,35.5586325230957,87500
2013-08-06,34.31829071044922,35.14045808770838,34.297028693352964,35.0057914361913,120800
2013-08-07,33.85050582885742,34.28994065558815,33.829243812753255,34.098574399505125,192500
2013-08-08,35.204254150390625,35.25387004391716,34.01353489122328,34.15528531712973,215000
2013-08-09,35.72874069213867,35.81379149026647,34.85696257610944,34.85696257610944,183800
2013-08-12,35.898841857910156,36.02641939582157,35.735824012133214,35.735824012133214,103500
2013-08-13,35.36726379394531,35.89883587880191,35.28221031369314,35.89883587880191,97100
2013-08-14,35.28932189941406,35.728754345332156,35.21135751145564,35.572825569415315,97000
2013-08-15,35.01998519897461,35.11921160189901,34.80026766127294,35.01998519897461,78100
2013-08-16,34.516761779785156,35.36727799787651,34.50258619405004,34.90658092449304,41400
2013-08-19,33.79381561279297,34.40335214524042,33.72294040359877,34.375000980076365,311200
2013-08-20,33.87886428833008,34.1552813721234,33.72293829709955,33.72293829709955,293400
2013-08-21,33.099239349365234,33.84344010945812,33.07797461652818,33.55284732870883,291300
2013-08-22,33.43943405151367,33.744202316754205,33.3898208644946,33.42525846897738,105900
2013-08-23,34.01353454589844,34.04188300856228,33.56701313842148,33.65206393384508,64700
2013-08-26,33.63079833984375,34.31829647739981,33.552833992435716,33.80089991262877,146000
2013-08-27,32.6456184387207,33.567009619753456,32.62435371430686,33.1063126773792,238400
2013-08-28,32.560569763183594,32.97165358223819,32.48969454789922,32.617272098384014,177000
2013-08-29,32.98582458496094,33.17719088411114,32.546389659334935,32.546389659334935,117900
2013-08-30,33.55284118652344,33.61662996592375,32.88660492678839,32.94330456196849,176000
2013-09-03,33.48196792602539,34.02062665848278,33.41817914289208,33.7725606705846,232300
2013-09-04,33.87886428833008,33.87886428833008,33.49613169367053,33.55992045944712,285800
